dep,dur,mem,jour,temp,prec,pointe
7/26/2021 18:06,1944,0,lundi,23.5,0,2
7/5/2021 16:04,619,0,lundi,20.2,0,2
7/26/2021 15:55,805,0,lundi,23.5,0,2
8/16/2021 8:38,673,0,lundi,19.5,0,1
8/16/2021 9:05,994,0,lundi,19.5,0,1
8/16/2021 8:03,620,0,lundi,19.5,0,1
8/2/2021 9:26,697,0,lundi,18.8,0,1
8/30/2021 8:30,754,0,lundi,24.8,5.3,1
8/2/2021 21:29,1083,0,lundi,18.8,0,3
8/23/2021 10:13,1358,0,lundi,26.7,0,3
8/30/2021 22:55,1081,0,lundi,24.8,5.3,3
8/2/2021 20:19,1514,0,lundi,18.8,0,3
8/23/2021 13:12,701,0,lundi,26.7,0,3
8/2/2021 17:23,2263,0,lundi,18.8,0,2
8/2/2021 17:17,1185,0,lundi,18.8,0,2
8/16/2021 18:59,475,0,lundi,19.5,0,2
8/30/2021 18:47,753,0,lundi,24.8,5.3,2
8/30/2021 18:56,616,0,lundi,24.8,5.3,2
9/6/2021 8:58,491,0,lundi,17.4,6.3,1
9/27/2021 8:31,778,0,lundi,13.6,3.1,1
9/27/2021 8:58,447,0,lundi,13.6,3.1,1
9/27/2021 6:39,1277,0,lundi,13.6,3.1,1
9/27/2021 9:09,735,0,lundi,13.6,3.1,1
9/6/2021 5:52,753,0,lundi,17.4,6.3,3
9/13/2021 21:53,605,0,lundi,17.3,0.2,3
9/20/2021 14:50,937,0,lundi,17.3,0,3
9/6/2021 5:24,692,0,lundi,17.4,6.3,3
9/27/2021 19:53,724,0,lundi,13.6,3.1,3
9/20/2021 16:38,967,0,lundi,17.3,0,2
9/13/2021 17:08,1030,0,lundi,17.3,0.2,2
9/20/2021 17:05,433,0,lundi,17.3,0,2
9/27/2021 17:57,414,0,lundi,13.6,3.1,2
9/27/2021 17:18,1814,0,lundi,13.6,3.1,2
10/25/2021 8:31,442,0,lundi,6.5,0.5,1
10/4/2021 8:24,524,0,lundi,12.2,0,1
10/18/2021 8:15,1491,0,lundi,9.7,0.7,1
10/4/2021 9:22,302,0,lundi,12.2,0,1
10/25/2021 7:37,487,0,lundi,6.5,0.5,1
10/4/2021 21:30,939,0,lundi,12.2,0,3
10/11/2021 12:45,1415,0,lundi,18.4,0,3
10/25/2021 19:18,657,0,lundi,6.5,0.5,3
10/18/2021 20:21,620,0,lundi,9.7,0.7,3
10/11/2021 13:56,2095,0,lundi,18.4,0,3
10/11/2021 16:58,553,0,lundi,18.4,0,2
10/25/2021 16:49,1218,0,lundi,6.5,0.5,2
10/11/2021 17:07,3197,0,lundi,18.4,0,2
10/18/2021 18:37,997,0,lundi,9.7,0.7,2
10/11/2021 15:58,112,0,lundi,18.4,0,2
5/15/2021 7:41,1053,0,samedi,17.7,0.2,1
5/29/2021 9:57,485,0,samedi,11.4,0,1
5/8/2021 8:40,3599,0,samedi,11.7,0,1
5/22/2021 9:23,202,0,samedi,23.6,0.3,1
5/8/2021 7:38,330,0,samedi,11.7,0,1
